,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,75,130,539,0.1391465677179963,0.24118738404452691,414
598,25,47,495,0.050505050505050504,0.09494949494949495,599
473,20,42,421,0.047505938242280284,0.0997624703087886,474
447,35,63,372,0.09408602150537634,0.1693548387096774,448
273,29,58,269,0.10780669144981413,0.21561338289962825,274
609,49,83,260,0.18846153846153846,0.3192307692307692,610
67,29,45,252,0.11507936507936507,0.17857142857142858,68
379,58,85,243,0.23868312757201646,0.3497942386831276,380
605,17,33,223,0.07623318385650224,0.14798206278026907,606
287,25,37,211,0.11848341232227488,0.17535545023696683,288
248,55,78,209,0.2631578947368421,0.37320574162679426,249
386,18,35,205,0.08780487804878048,0.17073170731707318,387
181,14,28,195,0.07179487179487179,0.14358974358974358,182
306,22,36,195,0.11282051282051282,0.18461538461538463,307
602,11,18,188,0.05851063829787234,0.09574468085106383,603
297,21,26,187,0.11229946524064172,0.13903743315508021,298
176,20,37,180,0.1111111111111111,0.20555555555555555,177
317,12,23,175,0.06857142857142857,0.13142857142857142,318
231,17,24,172,0.09883720930232558,0.13953488372093023,232
479,18,33,167,0.10778443113772455,0.19760479041916168,480
607,14,21,166,0.08433734939759036,0.12650602409638553,608
599,17,27,152,0.1118421052631579,0.17763157894736842,600
589,17,28,145,0.11724137931034483,0.19310344827586207,590
482,21,33,145,0.14482758620689656,0.22758620689655173,483
104,10,14,144,0.06944444444444445,0.09722222222222222,105
18,9,29,140,0.06428571428571428,0.20714285714285716,19
304,37,50,135,0.2740740740740741,0.37037037037037035,305
488,26,40,129,0.20155038759689922,0.31007751937984496,489
110,16,26,129,0.12403100775193798,0.20155038759689922,111
437,14,21,127,0.11023622047244094,0.16535433070866143,438
216,11,22,122,0.09016393442622951,0.18032786885245902,217
139,16,24,121,0.1322314049586777,0.19834710743801653,140
476,23,33,120,0.19166666666666668,0.275,477
554,18,27,115,0.1565217391304348,0.23478260869565218,555
90,10,14,115,0.08695652173913043,0.12173913043478261,91
27,20,26,114,0.17543859649122806,0.22807017543859648,28
218,20,28,105,0.19047619047619047,0.26666666666666666,219
533,23,40,104,0.22115384615384615,0.38461538461538464,534
63,8,14,103,0.07766990291262135,0.13592233009708737,64
88,7,15,103,0.06796116504854369,0.14563106796116504,89
560,11,16,101,0.10891089108910891,0.15841584158415842,561
225,11,16,101,0.10891089108910891,0.15841584158415842,226
17,15,23,100,0.15,0.23,18
524,25,35,100,0.25,0.35,525
56,5,14,95,0.05263157894736842,0.14736842105263157,57
380,23,32,94,0.24468085106382978,0.3404255319148936,381
367,24,40,93,0.25806451612903225,0.43010752688172044,368
508,14,27,93,0.15053763440860216,0.2903225806451613,509
468,5,8,93,0.053763440860215055,0.08602150537634409,469
559,9,13,91,0.0989010989010989,0.14285714285714285,560
461,8,15,91,0.08791208791208792,0.16483516483516483,462
291,13,22,89,0.14606741573033707,0.24719101123595505,292
20,34,48,88,0.38636363636363635,0.5454545454545454,21
41,8,12,88,0.09090909090909091,0.13636363636363635,42
596,22,29,88,0.25,0.32954545454545453,597
159,15,24,87,0.1724137931034483,0.27586206896551724,160
579,25,33,87,0.28735632183908044,0.3793103448275862,580
293,17,31,87,0.19540229885057472,0.3563218390804598,294
595,8,13,82,0.0975609756097561,0.15853658536585366,596
516,4,7,80,0.05,0.0875,517
274,4,9,80,0.05,0.1125,275
201,4,8,80,0.05,0.1,202
513,3,8,79,0.0379746835443038,0.10126582278481013,514
44,6,13,79,0.0759493670886076,0.16455696202531644,45
155,5,12,79,0.06329113924050633,0.1518987341772152,156
566,23,29,77,0.2987012987012987,0.37662337662337664,567
390,2,5,77,0.025974025974025976,0.06493506493506493,391
356,10,11,76,0.13157894736842105,0.14473684210526316,357
102,7,11,75,0.09333333333333334,0.14666666666666667,103
338,21,25,74,0.28378378378378377,0.33783783783783783,339
61,26,39,73,0.3561643835616438,0.5342465753424658,62
198,9,15,72,0.125,0.20833333333333334,199
124,10,13,72,0.1388888888888889,0.18055555555555555,125
50,4,9,71,0.056338028169014086,0.1267605633802817,51
131,14,18,69,0.2028985507246377,0.2608695652173913,132
65,2,8,69,0.028985507246376812,0.11594202898550725,66
312,10,14,68,0.14705882352941177,0.20588235294117646,313
220,4,8,66,0.06060606060606061,0.12121212121212122,221
199,8,13,66,0.12121212121212122,0.19696969696969696,200
5,3,3,62,0.04838709677419355,0.04838709677419355,6
49,11,16,62,0.1774193548387097,0.25806451612903225,50
